DB16_ID,AS_ID,DB16_NAME,AS_NAME,PREFIX,P_ID,P_NAME,NOTE,,,,
1377,500,Huyện Yên Mô,Yên Mô,Huyện,41,Ninh Bình,1,,,,
1582,518,Thành phố Phan Rang-Tháp Chàm,Phan Rang - Tháp Chàm,Thành phố,43,Ninh Thuận,0.967,,,,
1584,514,Huyện Bác Ái,Bác Ái,Huyện,43,Ninh Thuận,1,,,,
1585,517,Huyện Ninh Sơn,Ninh Sơn,Huyện,43,Ninh Thuận,1,,,,
1586,515,Huyện Ninh Hải,Ninh Hải,Huyện,43,Ninh Thuận,1,,,,
1587,516,Huyện Ninh Phước,Ninh Phước,Huyện,43,Ninh Thuận,1,,,,
1588,519,Huyện Thuận Bắc,Thuận Bắc,Huyện,43,Ninh Thuận,1,,,,
1589,520,Huyện Thuận Nam,Thuận Nam,Huyện,43,Ninh Thuận,1,,,,
1227,512,Thành phố Việt Trì,Việt Trì,Thành phố,42,Phú Thọ,1,,,,
1228,506,Thị xã Phú Thọ,Phú Thọ,Thị xã,42,Phú Thọ,1,,,,
1230,502,Huyện Đoan Hùng,Đoan Hùng,Huyện,42,Phú Thọ,1,,,,
1231,503,Huyện Hạ Hoà,Hạ Hòa,Huyện,42,Phú Thọ,0.833,,,,
1232,509,Huyện Thanh Ba,Thanh Ba,Huyện,42,Phú Thọ,1,,,,
1233,505,Huyện Phù Ninh,Phù Ninh,Huyện,42,Phú Thọ,1,,,,
1234,513,Huyện Yên Lập,Yên Lập,Huyện,42,Phú Thọ,1,,,,
1235,501,Huyện Cẩm Khê,Cẩm Khê,Huyện,42,Phú Thọ,1,,,,
1236,507,Huyện Tam Nông,Tam Nông,Huyện,42,Phú Thọ,1,,,,
1237,504,Huyện Lâm Thao,Lâm Thao,Huyện,42,Phú Thọ,1,,,,
1238,510,Huyện Thanh Sơn,Thanh Sơn,Huyện,42,Phú Thọ,1,,,,
1239,511,Huyện Thanh Thuỷ,Thanh Thủy,Huyện,42,Phú Thọ,0.875,,,,
1240,508,Huyện Tân Sơn,Tân Sơn,Huyện,42,Phú Thọ,1,,,,
1555,529,Thành phố Tuy Hoà,Tuy Hòa,Thành phố,44,Phú Yên,0.882,,,,
1557,525,Thị xã Sông Cầu,Sông Cầu,Thị xã,44,Phú Yên,1,,,,
1558,522,Huyện Đồng Xuân,Đồng Xuân,Huyện,44,Phú Yên,1,,,,
1559,528,Huyện Tuy An,Tuy An,Huyện,44,Phú Yên,1,,,,
1560,524,Huyện Sơn Hòa,Sơn Hòa,Huyện,44,Phú Yên,1,,,,
1561,526,Huyện Sông Hinh,Sông Hinh,Huyện,44,Phú Yên,1,,,,
1562,527,Huyện Tây Hoà,Tây Hòa,Huyện,44,Phú Yên,0.846,,,,
1563,523,Huyện Phú Hoà,Phú Hòa,Huyện,44,Phú Yên,0.846,,,,
1564,521,Huyện Đông Hòa,Đông Hòa,Huyện,44,Phú Yên,1,,,,
1450,583,Thành Phố Đồng Hới,Đồng Hới,Thành phố,50,Quảng Bình,1,,,,
1452,585,Huyện Minh Hóa,Minh Hóa,Huyện,50,Quảng Bình,1,,,,
1453,588,Huyện Tuyên Hóa,Tuyên Hóa,Huyện,50,Quảng Bình,1,,,,
1454,587,Huyện Quảng Trạch,Quảng Trạch,Huyện,50,Quảng Bình,1,,,,
1455,582,Huyện Bố Trạch,Bố Trạch,Huyện,50,Quảng Bình,1,,,,
1456,586,Huyện Quảng Ninh,Quảng Ninh,Huyện,50,Quảng Bình,1,,,,
1457,584,Huyện Lệ Thủy,Lệ Thủy,Huyện,50,Quảng Bình,1,,,,
1458,581,Thị xã Ba Đồn,Ba Đồn,Thị xã,50,Quảng Bình,1,,,,
1502,135,Thành phố Tam Kỳ,Tam Kỳ,Thành phố,9,Quảng Nam,1,,,,
1503,127,Thành phố Hội An,Hội An,Thành phố,9,Quảng Nam,1,,,,
1504,136,Huyện Tây Giang,Tây Giang,Huyện,9,Quảng Nam,1,,,,
1505,124,Huyện Đông Giang,Đông Giang,Huyện,9,Quảng Nam,1,,,,
1506,122,Huyện Đại Lộc,Đại Lộc,Huyện,9,Quảng Nam,1,,,,
1507,123,Thị xã Điện Bàn,Điện Bàn,Huyện,9,Quảng Nam,Sai prefix,,,,
1508,125,Huyện Duy Xuyên,Duy Xuyên,Huyện,9,Quảng Nam,1,,,,
1509,134,Huyện Quế Sơn,Quế Sơn,Huyện,9,Quảng Nam,1,,,,
1510,128,Huyện Nam Giang,Nam Giang,Huyện,9,Quảng Nam,1,,,,
1511,133,Huyện Phước Sơn,Phước Sơn,Huyện,9,Quảng Nam,1,,,,
1512,126,Huyện Hiệp Đức,Hiệp Đức,Huyện,9,Quảng Nam,1,,,,
1513,137,Huyện Thăng Bình,Thăng Bình,Huyện,9,Quảng Nam,1,,,,
1514,138,Huyện Tiên Phước,Tiên Phước,Huyện,9,Quảng Nam,1,,,,
1515,121,Huyện Bắc Trà My,Bắc Trà My,Huyện,9,Quảng Nam,1,,,,
1516,129,Huyện Nam Trà My,Nam Trà My,Huyện,9,Quảng Nam,1,,,,
1517,131,Huyện Núi Thành,Núi Thành,Huyện,9,Quảng Nam,1,,,,
1518,132,Huyện Phú Ninh,Phú Ninh,Huyện,9,Quảng Nam,1,,,,
1519,130,Huyện Nông Sơn,Nông Sơn,Huyện,9,Quảng Nam,1,,,,
1522,452,Thành phố Quảng Ngãi,Quảng Ngãi,Thành phố,36,Quảng Ngãi,1,,,,
1524,446,Huyện Bình Sơn,Bình Sơn,Huyện,36,Quảng Ngãi,1,,,,
1525,457,Huyện Trà Bồng,Trà Bồng,Huyện,36,Quảng Ngãi,1,,,,
1526,456,Huyện Tây Trà,Tây Trà,Huyện,36,Quảng Ngãi,1,,,,
1527,455,Huyện Sơn Tịnh,Sơn Tịnh,Huyện,36,Quảng Ngãi,1,,,,
1528,458,Huyện Tư Nghĩa,Tư Nghĩa,Huyện,36,Quảng Ngãi,1,,,,
1529,453,Huyện Sơn Hà,Sơn Hà,Huyện,36,Quảng Ngãi,1,,,,
1530,454,Huyện Sơn Tây,Sơn Tây,Huyện,36,Quảng Ngãi,1,,,,
1531,449,Huyện Minh Long,Minh Long,Huyện,36,Quảng Ngãi,1,,,,
1532,451,Huyện Nghĩa Hành,Nghĩa Hành,Huyện,36,Quảng Ngãi,1,,,,
1533,450,Huyện Mộ Đức,Mộ Đức,Huyện,36,Quảng Ngãi,1,,,,
1534,447,Huyện Đức Phổ,Đức Phổ,Huyện,36,Quảng Ngãi,1,,,,
1535,445,Huyện Ba Tơ,Ba Tơ,Huyện,36,Quảng Ngãi,1,,,,
1536,448,Huyện Lý Sơn,Lý Sơn,Huyện,36,Quảng Ngãi,1,,,,
1193,231,Thành phố Hạ Long,Hạ Long,Thành phố,18,Quảng Ninh,1,,,,
1194,234,Thành phố Móng Cái,Móng Cái,Thành phố,18,Quảng Ninh,1,,,,
1195,227,Thành phố Cẩm Phả,Cẩm Phả,Thành phố,18,Quảng Ninh,1,,,,
1196,237,Thành phố Uông Bí,Uông Bí,Thị xã,18,Quảng Ninh,Sai prefix,,,,
1198,226,Huyện Bình Liêu,Bình Liêu,Huyện,18,Quảng Ninh,1,,,,
1199,236,Huyện Tiên Yên,Tiên Yên,Huyện,18,Quảng Ninh,1,,,,
1200,229,Huyện Đầm Hà,Đầm Hà,Huyện,18,Quảng Ninh,1,,,,
1201,232,Huyện Hải Hà,Hải Hà,Huyện,18,Quảng Ninh,1,,,,
1202,225,Huyện Ba Chẽ,Ba Chẽ,Huyện,18,Quảng Ninh,1,,,,
1203,238,Huyện Vân Đồn,Vân Đồn,Huyện,18,Quảng Ninh,1,,,,
1204,233,Huyện Hoành Bồ,Hoành Bồ,Huyện,18,Quảng Ninh,1,,,,
1205,230,Thị xã Đông Triều,Đông Triều,Huyện,18,Quảng Ninh,Sai prefix,,,,
1206,235,Thị xã Quảng Yên,Quảng Yên,Huyện,18,Quảng Ninh,Sai prefix,,,,
1207,228,Huyện Cô Tô,Cô Tô,Huyện,18,Quảng Ninh,1,,,,
1461,592,Thành phố Đông Hà,Đông Hà,Thành phố,51,Quảng Trị,1,,,,
1462,596,Thị xã Quảng Trị,Quảng Trị,Thị xã,51,Quảng Trị,1,,,,
1464,598,Huyện Vĩnh Linh,Vĩnh Linh,Huyện,51,Quảng Trị,1,,,,
1465,595,Huyện Hướng Hóa,Hướng Hóa,Huyện,51,Quảng Trị,1,,,,
1466,593,Huyện Gio Linh,Gio Linh,Huyện,51,Quảng Trị,1,,,,
1467,590,Huyện Đa Krông,Đa Krông,Huyện,51,Quảng Trị,1,,,,
1468,589,Huyện Cam Lộ,Cam Lộ,Huyện,51,Quảng Trị,1,,,,
1469,597,Huyện Triệu Phong,Triệu Phong,Huyện,51,Quảng Trị,1,,,,
1470,594,Huyện Hải Lăng,Hải Lăng,Huyện,51,Quảng Trị,1,,,,
1471,591,Huyện Cồn Cỏ,Đảo Cồn cỏ,Huyện,51,Quảng Trị,0.857,,,,
1941,567,Thành phố Sóc Trăng,Sóc Trăng,Thành phố,48,Sóc Trăng,1,,,,
1942,560,Huyện Châu Thành,Châu Thành,Huyện,48,Sóc Trăng,1,,,,
1943,562,Huyện Kế Sách,Kế Sách,Huyện,48,Sóc Trăng,1,,,,
1944,564,Huyện Mỹ Tú,Mỹ Tú,Huyện,48,Sóc Trăng,1,,,,
1945,561,Huyện Cù Lao Dung,Cù Lao Dung,Huyện,48,Sóc Trăng,1,,,,
1946,563,Huyện Long Phú,Long Phú,Huyện,48,Sóc Trăng,1,,,,
1947,565,Huyện Mỹ Xuyên,Mỹ Xuyên,Huyện,48,Sóc Trăng,1,,,,
1948,566,Thị xã Ngã Năm,Ngã Năm,Huyện,48,Sóc Trăng,Sai prefix,,,,
1949,568,Huyện Thạnh Trị,Thạnh Trị,Huyện,48,Sóc Trăng,1,,,,
1950,570,Thị xã Vĩnh Châu,Vĩnh Châu,Huyện,48,Sóc Trăng,Sai prefix,,,,
1951,569,Huyện Trần Đề,Trần Đề,Huyện,48,Sóc Trăng,1,,,,
1116,620,Thành phố Sơn La,Sơn La,Thành phố,54,Sơn La,1,,,,
1118,619,Huyện Quỳnh Nhai,Quỳnh Nhai,Huyện,54,Sơn La,1,,,,
1119,623,Huyện Thuận Châu,Thuận Châu,Huyện,54,Sơn La,1,,,,
1120,617,Huyện Mường La,Mường La,Huyện,54,Sơn La,1,,,,
1121,614,Huyện Bắc Yên,Bắc Yên,Huyện,54,Sơn La,1,,,,
1122,618,Huyện Phù Yên,Phù Yên,Huyện,54,Sơn La,1,,,,
1123,616,Huyện Mộc Châu,Mộc Châu,Huyện,54,Sơn La,1,,,,
1124,625,Huyện Yên Châu,Yên Châu,Huyện,54,Sơn La,1,,,,
1125,615,Huyện Mai Sơn,Mai Sơn,Huyện,54,Sơn La,1,,,,
1126,621,Huyện Sông Mã,Sông Mã,Huyện,54,Sơn La,1,,,,
1127,622,Huyện Sốp Cộp,Sốp Cộp,Huyện,54,Sơn La,1,,,,
1128,624,Huyện Vân Hồ,Vân Hồ,Huyện,54,Sơn La,1,,,,
1703,415,Thành phố Tây Ninh,Tây Ninh,Thị xã,32,Tây Ninh,Sai prefix,,,,
1705,413,Huyện Tân Biên,Tân Biên,Huyện,32,Tây Ninh,1,,,,
1706,414,Huyện Tân Châu,Tân Châu,Huyện,32,Tây Ninh,1,,,,
1707,410,Huyện Dương Minh Châu,Dương Minh Châu,Huyện,32,Tây Ninh,1,,,,
1708,409,Huyện Châu Thành,Châu Thành,Huyện,32,Tây Ninh,1,,,,
1709,412,Huyện Hòa Thành,Hòa Thành,Huyện,32,Tây Ninh,1,,,,
1710,411,Huyện Gò Dầu,Gò Dầu,Huyện,32,Tây Ninh,1,,,,
1711,408,Huyện Bến Cầu,Bến Cầu,Huyện,32,Tây Ninh,1,,,,
1712,416,Huyện Trảng Bàng,Trảng Bàng,Huyện,32,Tây Ninh,1,,,,
1336,363,Thành phố Thái Bình,Thái Bình,Thành phố,27,Thái Bình,1,,,,
1338,362,Huyện Quỳnh Phụ,Quỳnh Phụ,Huyện,27,Thái Bình,1,,,,
1339,360,Huyện Hưng Hà,Hưng Hà,Huyện,27,Thái Bình,1,,,,
1340,359,Huyện Đông Hưng,Đông Hưng,Huyện,27,Thái Bình,1,,,,
1341,364,Huyện Thái Thụy,Thái Thuỵ,Huyện,27,Thái Bình,0.867,,,,
1342,365,Huyện Tiền Hải,Tiền Hải,Huyện,27,Thái Bình,1,,,,
1343,361,Huyện Kiến Xương,Kiến Xương,Huyện,27,Thái Bình,1,,,,
1344,366,Huyện Vũ Thư,Vũ Thư,Huyện,27,Thái Bình,1,,,,
1164,424,Thành phố Thái Nguyên,Thái Nguyên,Thành phố,33,Thái Nguyên,1,,,,
1165,423,Thành phố Sông Công,Sông Công,Thị xã,33,Thái Nguyên,Sai prefix,,,,
1167,418,Huyện Định Hóa,Định Hóa,Huyện,33,Thái Nguyên,1,,,,
1168,422,Huyện Phú Lương,Phú Lương,Huyện,33,Thái Nguyên,1,,,,
1169,419,Huyện Đồng Hỷ,Đồng Hỷ,Huyện,33,Thái Nguyên,1,,,,
1170,425,Huyện Võ Nhai,Võ Nhai,Huyện,33,Thái Nguyên,1,,,,
1171,417,Huyện Đại Từ,Đại Từ,Huyện,33,Thái Nguyên,1,,,,
1172,420,Thị xã Phổ Yên,Phổ Yên,Huyện,33,Thái Nguyên,Sai prefix,,,,
1173,421,Huyện Phú Bình,Phú Bình,Huyện,33,Thái Nguyên,1,,,,
1380,258,Thành phố Thanh Hóa,Thanh Hóa,Thành phố,19,Thanh Hóa,1,,,,
1381,240,Thị xã Bỉm Sơn,Bỉm Sơn,Thị xã,19,Thanh Hóa,1,,,,
1382,256,Thị xã Sầm Sơn,Sầm Sơn,Thị xã,19,Thanh Hóa,1,,,,
1384,247,Huyện Mường Lát,Mường Lát,Huyện,19,Thanh Hóa,1,,,,
1385,253,Huyện Quan Hóa,Quan Hóa,Huyện,19,Thanh Hóa,1,,,,
1386,239,Huyện Bá Thước,Bá Thước,Huyện,19,Thanh Hóa,1,,,,
1387,254,Huyện Quan Sơn,Quan Sơn,Huyện,19,Thanh Hóa,1,,,,
1388,246,Huyện Lang Chánh,Lang Chánh,Huyện,19,Thanh Hóa,1,,,,
1389,249,Huyện Ngọc Lặc,Ngọc Lặc,Huyện,19,Thanh Hóa,1,,,,
1390,241,Huyện Cẩm Thủy,Cẩm Thủy,Huyện,19,Thanh Hóa,1,,,,
1391,257,Huyện Thạch Thành,Thạch Thành,Huyện,19,Thanh Hóa,1,,,,
1392,243,Huyện Hà Trung,Hà Trung,Huyện,19,Thanh Hóa,1,,,,
1393,264,Huyện Vĩnh Lộc,Vĩnh Lộc,Huyện,19,Thanh Hóa,1,,,,
1394,265,Huyện Yên Định,Yên Định,Huyện,19,Thanh Hóa,1,,,,
1395,260,Huyện Thọ Xuân,Thọ Xuân,Huyện,19,Thanh Hóa,1,,,,
1396,261,Huyện Thường Xuân,Thường Xuân,Huyện,19,Thanh Hóa,1,,,,
1397,263,Huyện Triệu Sơn,Triệu Sơn,Huyện,19,Thanh Hóa,1,,,,
1398,259,Huyện Thiệu Hóa,Thiệu Hóa,Huyện,19,Thanh Hóa,1,,,,
1399,245,Huyện Hoằng Hóa,Hoằng Hóa,Huyện,19,Thanh Hóa,1,,,,
1400,244,Huyện Hậu Lộc,Hậu Lộc,Huyện,19,Thanh Hóa,1,,,,
1401,248,Huyện Nga Sơn,Nga Sơn,Huyện,19,Thanh Hóa,1,,,,
1402,251,Huyện Như Xuân,Như Xuân,Huyện,19,Thanh Hóa,1,,,,
1403,250,Huyện Như Thanh,Như Thanh,Huyện,19,Thanh Hóa,1,,,,
1404,252,Huyện Nông Cống,Nông Cống,Huyện,19,Thanh Hóa,1,,,,
1405,242,Huyện Đông Sơn,Đông Sơn,Huyện,19,Thanh Hóa,1,,,,
1406,255,Huyện Quảng Xương,Quảng Xương,Huyện,19,Thanh Hóa,1,,,,
1407,262,Huyện Tĩnh Gia,Tĩnh Gia,Huyện,19,Thanh Hóa,1,,,,
1474,194,Thành phố Huế,Huế,Thành phố,15,Thừa Thiên Huế,1,,,,
1476,198,Huyện Phong Điền,Phong Điền,Huyện,15,Thừa Thiên Huế,1,,,,
1477,201,Huyện Quảng Điền,Quảng Điền,Huyện,15,Thừa Thiên Huế,1,,,,
1478,200,Huyện Phú Vang,Phú Vang,Huyện,15,Thừa Thiên Huế,1,,,,
1479,195,Thị xã Hương Thủy,Hương Thủy,Thị xã,15,Thừa Thiên Huế,1,,,,
1480,196,Thị xã Hương Trà,Hương Trà,Huyện,15,Thừa Thiên Huế,Sai prefix,,,,
1481,193,Huyện A Lưới,A Lưới,Huyện,15,Thừa Thiên Huế,1,,,,
1482,199,Huyện Phú Lộc,Phú Lộc,Huyện,15,Thừa Thiên Huế,1,,,,
1483,197,Huyện Nam Đông,Nam Đông,Huyện,15,Thừa Thiên Huế,1,,,,
1815,356,Thành phố Mỹ Tho,Mỹ Tho,Thành phố,26,Tiền Giang,1,,,,
1816,352,Thị xã Gò Công,Gò Công,Thị xã,26,Tiền Giang,1,,,,
1817,349,Thị xã Cai Lậy,Cai Lậy,Thị xã,26,Tiền Giang,1,,,,
1818,358,Huyện Tân Phước,Tân Phước,Huyện,26,Tiền Giang,1,,,,
1819,348,Huyện Cái Bè,Cái Bè,Huyện,26,Tiền Giang,1,,,,
1820,355,Huyện Cai Lậy,Huyện Cai Lậy,Huyện,26,Tiền Giang,Sai prefix,,,,
1821,350,Huyện Châu Thành,Châu Thành,Huyện,26,Tiền Giang,1,,,,
1822,351,Huyện Chợ Gạo,Chợ Gạo,Huyện,26,Tiền Giang,1,,,,
1823,354,Huyện Gò Công Tây,Gò Công Tây,Huyện,26,Tiền Giang,1,,,,
1824,353,Huyện Gò Công Đông,Gò Công Đông,Huyện,26,Tiền Giang,1,,,,
1825,357,Huyện Tân Phú Đông,Tân Phú Đông,Huyện,26,Tiền Giang,1,,,,
1842,606,Thành phố Trà Vinh,Trà Vinh,Thành phố,52,Trà Vinh,1,,,,
1844,599,Huyện Càng Long,Càng Long,Huyện,52,Trà Vinh,1,,,,
1845,600,Huyện Cầu Kè,Cầu Kè,Huyện,52,Trà Vinh,1,,,,
1846,604,Huyện Tiểu Cần,Tiểu Cần,Huyện,52,Trà Vinh,1,,,,
1847,602,Huyện Châu Thành,Châu Thành,Huyện,52,Trà Vinh,1,,,,
1848,601,Huyện Cầu Ngang,Cầu Ngang,Huyện,52,Trà Vinh,1,,,,
1849,605,Huyện Trà Cú,Trà Cú,Huyện,52,Trà Vinh,1,,,,
1850,603,Huyện Duyên Hải,Duyên Hải,Huyện,52,Trà Vinh,1,,,,
1851,603,Thị xã Duyên Hải,Duyên Hải,Huyện,52,Trà Vinh,Sai prefix,,,,
1070,647,Thành phố Tuyên Quang,Tuyên Quang,Thành phố,57,Tuyên Quang,1,,,,
1071,644,Huyện Lâm Bình,Lâm Bình,Huyện,57,Tuyên Quang,1,,,,
1072,645,Huyện Nà Hang,Na Hang,Huyện,57,Tuyên Quang,0.923,,,,
1073,642,Huyện Chiêm Hóa,Chiêm Hóa,Huyện,57,Tuyên Quang,1,,,,
1074,643,Huyện Hàm Yên,Hàm Yên,Huyện,57,Tuyên Quang,1,,,,
1075,648,Huyện Yên Sơn,Yên Sơn,Huyện,57,Tuyên Quang,1,,,,
1076,646,Huyện Sơn Dương,Sơn Dương,Huyện,57,Tuyên Quang,1,,,,
1855,491,Thành phố Vĩnh Long,Vĩnh Long,Thành phố,40,Vĩnh Long,1,,,,
1857,487,Huyện Long Hồ,Long Hồ,Huyện,40,Vĩnh Long,1,,,,
1858,488,Huyện Mang Thít,Mang Thít,Huyện,40,Vĩnh Long,1,,,,
1859,492,Huyện  Vũng Liêm,Vũng Liêm,Huyện,40,Vĩnh Long,1,,,,
1860,489,Huyện Tam Bình,Tam Bình,Huyện,40,Vĩnh Long,1,,,,
1861,485,Thị xã Bình Minh,Bình Minh,Huyện,40,Vĩnh Long,Sai prefix,,,,
1862,490,Huyện Trà Ôn,Trà Ôn,Huyện,40,Vĩnh Long,1,,,,
1863,486,Huyện Bình Tân,Bình Tân,Quận,40,Vĩnh Long,Sai prefix,,,,
1243,406,Thành phố Vĩnh Yên,Vĩnh Yên,Thành phố,31,Vĩnh Phúc,1,,,,
1244,401,Thị xã Phúc Yên,Phúc Yên,Thị xã,31,Vĩnh Phúc,1,,,,
1246,400,Huyện Lập Thạch,Lập Thạch,Huyện,31,Vĩnh Phúc,1,,,,
1247,404,Huyện Tam Dương,Tam Dương,Huyện,31,Vĩnh Phúc,1,,,,
1248,403,Huyện Tam Đảo,Tam Đảo,Huyện,31,Vĩnh Phúc,1,,,,
1249,399,Huyện Bình Xuyên,Bình Xuyên,Huyện,31,Vĩnh Phúc,1,,,,
1251,407,Huyện Yên Lạc,Yên Lạc,Huyện,31,Vĩnh Phúc,1,,,,
1252,405,Huyện Vĩnh Tường,Vĩnh Tường,Huyện,31,Vĩnh Phúc,1,,,,
1253,402,Huyện Sông Lô,Sông Lô,Huyện,31,Vĩnh Phúc,1,,,,
1132,640,Thành phố Yên Bái,Yên Bái,Thành phố,56,Yên Bái,1,,,,
1133,635,Thị xã Nghĩa Lộ,Nghĩa Lộ,Thị xã,56,Yên Bái,1,,,,
1135,633,Huyện Lục Yên,Lục Yên,Huyện,56,Yên Bái,1,,,,
1136,639,Huyện Văn Yên,Văn Yên,Huyện,56,Yên Bái,1,,,,
1137,634,Huyện Mù Căng Chải,Mù Cang Chải,Huyện,56,Yên Bái,0.944,,,,
1138,637,Huyện Trấn Yên,Trấn Yên,Huyện,56,Yên Bái,1,,,,
1139,636,Huyện Trạm Tấu,Trạm Tấu,Huyện,56,Yên Bái,1,,,,
1140,638,Huyện Văn Chấn,Văn Chấn,Huyện,56,Yên Bái,1,,,,
1141,641,Huyện Yên Bình,Yên Bình,Huyện,56,Yên Bái,1,,,,
